Code,Description,Rate1,Desc1,Rate2,Desc2,Rate3,Desc3
ABG,Alberta,0.05,GST,,,,
BC02,British Columbia,0.05,GST,0.07,PST,,
BCPG,British Columbia,0.05,GST,0.07,PST,,
BC-2,British Columbia - GST and PST Exempt,0,GST,0,PST,,
BC-1,British Columbia - PST Exempt,0.05,GST,0,PST,,
MBPG,Manitoba,0.05,GST,0.07,PST,,
MB-1,Manitoba - PST Exempt,0.05,GST,0,PST,,
MI,Michigan,0.06,State Sales Tax,,,,
NBPG,New Brunswick,0.15,HST,,,,
NFPG,Newfoundland and Labrador,0.15,HST,,,,
NT,North West Territory,0.05,GST,,,,
NSPG,Nova Scotia,0.15,HST,,,,
ONP,Ontario - GST and PST Exempt,0,HST,,,,
ONPO,Ontario - P.S.T. Only,0.08,Prov. Portion (RST),,,,
ONG,Ontario - PST Exempt,0.05,GST Only,,,,
ONPG,Ontario HST,0.13,HST,,,,
PEPG,Prince Edward Island,0.15,HST,,,,
PQPG,Quebec,0.05,GST,0.09975,QST,,
SKPG,Saskatchewan,0.05,GST,0.06,PST,,
SK-1,Saskatchewan - PST Exempt,0.05,GST,0,PST,,
USA,U.S. State SalesTax,,,,,,
YT,Yukon Territory,0.05,GST,,,,
